Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/14/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/15/20,AQS,60731022,1,0.4,ppm,5,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/16/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/17/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/18/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/19/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/20/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/21/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/22/20,AQS,60731022,1,0.4,ppm,5,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/23/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/24/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/25/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/26/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/27/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,9,38,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/28/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/29/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/30/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
3/31/20,AQS,60731022,1,0.4,ppm,5,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/1/20,AQS,60731022,1,0.4,ppm,5,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/2/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/3/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/4/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/5/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/6/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/7/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/8/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/9/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/10/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,11,46,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/11/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/12/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,17,71,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/13/20,AQS,60731022,1,0.2,ppm,2,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/14/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,10,42,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
4/15/20,AQS,60731022,1,0.3,ppm,3,El Cajon - Lexington Elementary School,18,75,42101,Carbon monoxide,41740,"San Diego-Carlsbad, CA",6,California,73,San Diego,32.789565,-116.944308
